reviewid,customerid,productid,reviewdate,year_month,rating,reviewtext,vader_score,sentiment_category,productname,brand,category,price
336,374,10,2023-07-22,2023-07,3,Average quality. Nothing special about it.,-0.3089,Neutral,Men Jogger Mid-Rise Jeans,styzon,Joggers & Cargo,899.0
337,498,45,2023-01-30,2023-01,4,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Wide Leg Cotton Jeans,HIGHLANDER,Wide Leg & Bootcut,1099.0
338,344,10,2024-10-26,2024-10,4,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Jogger Mid-Rise Jeans,styzon,Joggers & Cargo,899.0
339,35,8,2024-10-14,2024-10,3,Decent product but could be better for the price.,0.5927,Neutral,Men Wide Leg Heavy Fade Jeans,Bene Kleed,Wide Leg & Bootcut,839.0
340,251,7,2023-01-12,2023-01,5,Amazing quality! Totally worth the price.,0.7419,Positive,Men Relaxed Fit Jeans,Urbano Fashion,Relaxed Fit Jeans,944.0
341,185,9,2023-02-03,2023-02,3,Not bad but not great either. Fits okay.,-0.2883,Neutral,Men Regular Fit Mid-Rise Jeans,Roadster,Regular Fit Jeans,759.0
342,402,29,2024-03-10,2024-03,3,Okay product. Expected more based on the description.,0.2263,Neutral,Men Slim Fit Jeans,Roadster,Slim Fit Jeans,681.0
343,287,17,2023-07-24,2023-07,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Low-Rise Jeans,Kotty,Denim & Jeans,519.0
344,56,44,2024-02-24,2024-02,5,Great value for money. Highly recommend.,0.8516,Positive,Men Baggy Loose Jeans,glitchez,Relaxed Fit Jeans,747.0
345,377,10,2023-10-04,2023-10,4,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Jogger Mid-Rise Jeans,styzon,Joggers & Cargo,899.0
346,162,14,2023-12-04,2023-12,4,Fast delivery and great packaging.,0.6249,Positive,Men Relaxed Fit Mid-Rise Jeans,HIGHLANDER,Relaxed Fit Jeans,769.0
347,66,47,2024-06-26,2024-06,4,Great value for money. Highly recommend.,0.8516,Positive,Plus Size Stretchable Jeans,Sztori,Stretchable Jeans,863.0
348,298,43,2024-09-18,2024-09,5,Great value for money. Highly recommend.,0.8516,Positive,Men Mid-Rise Stretchable Jeans,MASTERLY WEFT,Stretchable Jeans,959.0
349,178,36,2023-07-19,2023-07,4,Amazing quality! Totally worth the price.,0.7419,Positive,Men Straight Fit Jeans,Bene Kleed,Regular Fit Jeans,989.0
350,106,43,2024-12-11,2024-12,4,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Mid-Rise Stretchable Jeans,MASTERLY WEFT,Stretchable Jeans,959.0
351,16,22,2024-06-14,2024-06,5,Great value for money. Highly recommend.,0.8516,Positive,Men Mid-Rise Skinny Fit Jeans,Mufti,Slim Fit Jeans,1393.0
352,261,6,2024-11-12,2024-11,1,The jeans are too tight at the waist. Sizing is off.,0.0,Mixed Negative,Men Stretchable Jeans,HERE&NOW,Stretchable Jeans,798.0
353,467,9,2023-10-29,2023-10,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Regular Fit Mid-Rise Jeans,Roadster,Regular Fit Jeans,759.0
354,248,17,2024-05-15,2024-05,4,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Low-Rise Jeans,Kotty,Denim & Jeans,519.0
355,126,3,2024-08-24,2024-08,4,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Pure Cotton Jeans,Roadster,Denim & Jeans,974.0
356,198,37,2023-01-09,2023-01,4,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Straight Fit Jeans,V-Mart,Regular Fit Jeans,809.0
357,223,9,2024-07-13,2024-07,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Regular Fit Mid-Rise Jeans,Roadster,Regular Fit Jeans,759.0
358,255,30,2023-08-01,2023-08,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Slim Tapered Fit Jeans,Mast & Harbour,Slim Fit Jeans,701.0
359,335,25,2023-10-25,2023-10,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Relaxed Fit Jeans,FUGAZEE,Relaxed Fit Jeans,2099.0
360,13,30,2023-09-18,2023-09,1,Delivery was very late. Poor experience.,-0.5233,Negative,Men Slim Tapered Fit Jeans,Mast & Harbour,Slim Fit Jeans,701.0
361,309,28,2023-07-22,2023-07,3,Okay product. Expected more based on the description.,0.2263,Neutral,Men Straight Fit Jeans,Mast & Harbour,Regular Fit Jeans,764.0
362,438,15,2024-09-21,2024-09,1,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Men Mid-Rise Boot Cut Jeans,Bene Kleed,Denim & Jeans,873.0
363,204,9,2023-05-27,2023-05,2,Product looks different from the photo online.,0.0,Mixed Negative,Men Regular Fit Mid-Rise Jeans,Roadster,Regular Fit Jeans,759.0
364,352,26,2023-05-08,2023-05,4,Fast delivery and great packaging.,0.6249,Positive,Men Slim Fit Mid-Rise Jeans,The Indian Garage Co,Slim Fit Jeans,659.0
365,384,44,2023-08-25,2023-08,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Baggy Loose Jeans,glitchez,Relaxed Fit Jeans,747.0
366,261,34,2024-09-03,2024-09,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Bootcut Stretchable Jeans,Thomas Scott,Wide Leg & Bootcut,874.0
367,184,10,2024-08-09,2024-08,4,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Jogger Mid-Rise Jeans,styzon,Joggers & Cargo,899.0
368,303,17,2024-05-26,2024-05,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Low-Rise Jeans,Kotty,Denim & Jeans,519.0
369,358,48,2024-09-11,2024-09,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Bootcut Jeans,HERE&NOW,Wide Leg & Bootcut,869.0
370,449,8,2024-06-03,2024-06,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Wide Leg Heavy Fade Jeans,Bene Kleed,Wide Leg & Bootcut,839.0
371,349,47,2023-10-22,2023-10,3,Average quality. Nothing special about it.,-0.3089,Neutral,Plus Size Stretchable Jeans,Sztori,Stretchable Jeans,863.0
372,68,10,2023-08-23,2023-08,5,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Jogger Mid-Rise Jeans,styzon,Joggers & Cargo,899.0
373,495,14,2024-09-06,2024-09,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Relaxed Fit Mid-Rise Jeans,HIGHLANDER,Relaxed Fit Jeans,769.0
374,471,18,2024-02-23,2024-02,4,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Wide Leg Jeans,Roadster,Wide Leg & Bootcut,999.0
375,173,43,2024-02-03,2024-02,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Mid-Rise Stretchable Jeans,MASTERLY WEFT,Stretchable Jeans,959.0
376,41,8,2024-05-31,2024-05,4,Fast delivery and great packaging.,0.6249,Positive,Men Wide Leg Heavy Fade Jeans,Bene Kleed,Wide Leg & Bootcut,839.0
377,273,46,2023-05-15,2023-05,5,Great value for money. Highly recommend.,0.8516,Positive,Men Slim Fit Jeans,HIGHLANDER,Slim Fit Jeans,675.0
378,326,22,2024-11-26,2024-11,5,Amazing quality! Totally worth the price.,0.7419,Positive,Men Mid-Rise Skinny Fit Jeans,Mufti,Slim Fit Jeans,1393.0
379,227,50,2023-05-19,2023-05,5,Loved the fabric and the fit. Will buy again.,0.7506,Positive,30 Days No Wash Jeans,TURMS,Denim & Jeans,3499.0
380,106,40,2023-07-06,2023-07,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Relaxed Fit Jeans,Roadster,Relaxed Fit Jeans,645.0
381,451,30,2024-10-16,2024-10,3,Okay product. Expected more based on the description.,0.2263,Neutral,Men Slim Tapered Fit Jeans,Mast & Harbour,Slim Fit Jeans,701.0
382,312,27,2023-08-10,2023-08,3,Average quality. Nothing special about it.,-0.3089,Neutral,Men Slim Fit Jeans,French Connection,Slim Fit Jeans,1294.0
383,62,3,2023-12-19,2023-12,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Pure Cotton Jeans,Roadster,Denim & Jeans,974.0
384,35,17,2023-06-19,2023-06,1,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Men Low-Rise Jeans,Kotty,Denim & Jeans,519.0
385,490,37,2024-01-30,2024-01,3,Okay product. Expected more based on the description.,0.2263,Neutral,Men Straight Fit Jeans,V-Mart,Regular Fit Jeans,809.0
386,111,32,2023-12-18,2023-12,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Relaxed Fit Jeans,The Indian Garage Co,Relaxed Fit Jeans,808.0
387,183,12,2023-01-27,2023-01,1,Customer support was unhelpful when I raised an issue.,0.4019,Mixed Negative,Men Relaxed Fit Jeans,styzon,Relaxed Fit Jeans,989.0
388,114,2,2024-04-09,2024-04,1,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Slim Fit Jeans,Flying Machine,Slim Fit Jeans,1829.0
389,108,15,2024-09-29,2024-09,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Mid-Rise Boot Cut Jeans,Bene Kleed,Denim & Jeans,873.0
390,99,18,2024-05-02,2024-05,4,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Wide Leg Jeans,Roadster,Wide Leg & Bootcut,999.0
391,351,45,2023-06-13,2023-06,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Wide Leg Cotton Jeans,HIGHLANDER,Wide Leg & Bootcut,1099.0
392,14,34,2024-12-14,2024-12,4,Great value for money. Highly recommend.,0.8516,Positive,Men Bootcut Stretchable Jeans,Thomas Scott,Wide Leg & Bootcut,874.0
393,242,10,2023-03-02,2023-03,2,Material feels cheap. Not worth the price at all.,-0.1695,Negative,Men Jogger Mid-Rise Jeans,styzon,Joggers & Cargo,899.0
394,484,49,2023-06-10,2023-06,3,Material is fine but the colour is slightly different.,0.1027,Neutral,Non Stretchable Cotton Jeans,Flying Machine,Stretchable Jeans,1829.0
395,93,16,2023-12-22,2023-12,2,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Relaxed Fit Jeans,Flying Machine,Relaxed Fit Jeans,2309.0
396,121,14,2023-05-15,2023-05,5,Great value for money. Highly recommend.,0.8516,Positive,Men Relaxed Fit Mid-Rise Jeans,HIGHLANDER,Relaxed Fit Jeans,769.0
397,265,47,2024-09-30,2024-09,1,Customer support was unhelpful when I raised an issue.,0.4019,Mixed Negative,Plus Size Stretchable Jeans,Sztori,Stretchable Jeans,863.0
398,16,13,2024-09-27,2024-09,4,Great value for money. Highly recommend.,0.8516,Positive,Men Slim Fit Stretchable Jeans,WROGN,Slim Fit Jeans,1275.0
399,30,28,2024-07-05,2024-07,3,Decent product but could be better for the price.,0.5927,Neutral,Men Straight Fit Jeans,Mast & Harbour,Regular Fit Jeans,764.0
400,7,11,2023-12-11,2023-12,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Slim Fit Jeans,Calvin Klein Jeans,Slim Fit Jeans,949.0
401,25,29,2023-01-25,2023-01,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Slim Fit Jeans,Roadster,Slim Fit Jeans,681.0
402,359,32,2024-06-12,2024-06,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Relaxed Fit Jeans,The Indian Garage Co,Relaxed Fit Jeans,808.0
403,174,37,2024-08-24,2024-08,4,Perfect fit. The material feels premium.,0.7351,Positive,Men Straight Fit Jeans,V-Mart,Regular Fit Jeans,809.0
404,91,16,2024-03-24,2024-03,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Relaxed Fit Jeans,Flying Machine,Relaxed Fit Jeans,2309.0
405,92,33,2024-04-01,2024-04,4,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Straight Fit Jeans,glitchez,Regular Fit Jeans,797.0
406,393,45,2023-10-22,2023-10,4,Great value for money. Highly recommend.,0.8516,Positive,Men Wide Leg Cotton Jeans,HIGHLANDER,Wide Leg & Bootcut,1099.0
407,284,18,2024-10-28,2024-10,2,Product looks different from the photo online.,0.0,Mixed Negative,Men Wide Leg Jeans,Roadster,Wide Leg & Bootcut,999.0
408,133,26,2024-12-06,2024-12,5,Great value for money. Highly recommend.,0.8516,Positive,Men Slim Fit Mid-Rise Jeans,The Indian Garage Co,Slim Fit Jeans,659.0
409,476,19,2023-07-18,2023-07,2,The jeans are too tight at the waist. Sizing is off.,0.0,Mixed Negative,Men Straight Fit Jeans,Kotty,Regular Fit Jeans,719.0
410,218,46,2023-04-20,2023-04,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Slim Fit Jeans,HIGHLANDER,Slim Fit Jeans,675.0
411,285,44,2024-03-28,2024-03,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Baggy Loose Jeans,glitchez,Relaxed Fit Jeans,747.0
412,460,24,2024-12-14,2024-12,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Slim Fit Jeans,Urbano Fashion,Slim Fit Jeans,629.0
413,28,26,2023-03-30,2023-03,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Slim Fit Mid-Rise Jeans,The Indian Garage Co,Slim Fit Jeans,659.0
414,149,6,2024-03-15,2024-03,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Stretchable Jeans,HERE&NOW,Stretchable Jeans,798.0
415,313,21,2024-07-04,2024-07,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Low-Rise Cargo  Jeans,Kotty,Joggers & Cargo,639.0
416,295,14,2023-10-13,2023-10,3,Not bad but not great either. Fits okay.,-0.2883,Neutral,Men Relaxed Fit Mid-Rise Jeans,HIGHLANDER,Relaxed Fit Jeans,769.0
417,344,39,2024-11-23,2024-11,5,Fast delivery and great packaging.,0.6249,Positive,Men Regular Fit Jeans,Levis,Regular Fit Jeans,944.0
418,480,29,2023-09-10,2023-09,5,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Slim Fit Jeans,Roadster,Slim Fit Jeans,681.0
419,322,38,2024-05-09,2024-05,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Bootcut Jeans,Urbano Fashion,Wide Leg & Bootcut,944.0
420,192,26,2024-04-02,2024-04,3,Okay product. Expected more based on the description.,0.2263,Neutral,Men Slim Fit Mid-Rise Jeans,The Indian Garage Co,Slim Fit Jeans,659.0
421,72,49,2024-08-26,2024-08,5,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Non Stretchable Cotton Jeans,Flying Machine,Stretchable Jeans,1829.0
422,241,14,2023-06-12,2023-06,1,The color faded after first wash. Very disappointing.,-0.5413,Negative,Men Relaxed Fit Mid-Rise Jeans,HIGHLANDER,Relaxed Fit Jeans,769.0
423,95,5,2024-05-10,2024-05,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men 511 Slim Fit Jeans,Levis,Slim Fit Jeans,1478.0
424,235,43,2023-12-16,2023-12,3,Average quality. Nothing special about it.,-0.3089,Neutral,Men Mid-Rise Stretchable Jeans,MASTERLY WEFT,Stretchable Jeans,959.0
425,120,10,2024-01-12,2024-01,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Jogger Mid-Rise Jeans,styzon,Joggers & Cargo,899.0
426,4,38,2023-01-21,2023-01,5,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Bootcut Jeans,Urbano Fashion,Wide Leg & Bootcut,944.0
427,416,35,2024-05-17,2024-05,5,Amazing quality! Totally worth the price.,0.7419,Positive,Men Relaxed Fit Jeans,Mast & Harbour,Relaxed Fit Jeans,819.0
428,104,18,2023-02-01,2023-02,3,Material is fine but the colour is slightly different.,0.1027,Neutral,Men Wide Leg Jeans,Roadster,Wide Leg & Bootcut,999.0
429,97,9,2024-10-31,2024-10,1,The color faded after first wash. Very disappointing.,-0.5413,Negative,Men Regular Fit Mid-Rise Jeans,Roadster,Regular Fit Jeans,759.0
430,316,44,2023-10-01,2023-10,5,Great value for money. Highly recommend.,0.8516,Positive,Men Baggy Loose Jeans,glitchez,Relaxed Fit Jeans,747.0
431,378,32,2023-01-29,2023-01,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Relaxed Fit Jeans,The Indian Garage Co,Relaxed Fit Jeans,808.0
432,51,18,2024-01-22,2024-01,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Wide Leg Jeans,Roadster,Wide Leg & Bootcut,999.0
433,402,18,2023-02-22,2023-02,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Wide Leg Jeans,Roadster,Wide Leg & Bootcut,999.0
434,457,19,2023-11-13,2023-11,5,Fast delivery and great packaging.,0.6249,Positive,Men Straight Fit Jeans,Kotty,Regular Fit Jeans,719.0
435,423,25,2024-10-14,2024-10,3,Material is fine but the colour is slightly different.,0.1027,Neutral,Men Relaxed Fit Jeans,FUGAZEE,Relaxed Fit Jeans,2099.0
436,457,31,2024-01-02,2024-01,3,Not bad but not great either. Fits okay.,-0.2883,Neutral,Men Pure Cotton Skater Jeans,The Indian Garage Co,Denim & Jeans,688.0
437,498,24,2023-09-19,2023-09,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Slim Fit Jeans,Urbano Fashion,Slim Fit Jeans,629.0
438,390,35,2023-10-25,2023-10,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Relaxed Fit Jeans,Mast & Harbour,Relaxed Fit Jeans,819.0
439,186,15,2024-06-02,2024-06,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Mid-Rise Boot Cut Jeans,Bene Kleed,Denim & Jeans,873.0
440,257,31,2024-05-30,2024-05,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Pure Cotton Skater Jeans,The Indian Garage Co,Denim & Jeans,688.0
441,43,41,2023-06-26,2023-06,3,Average quality. Nothing special about it.,-0.3089,Neutral,Men Tapered Fit Jeans,Flying Machine,Denim & Jeans,1829.0
442,428,34,2024-08-22,2024-08,3,Average quality. Nothing special about it.,-0.3089,Neutral,Men Bootcut Stretchable Jeans,Thomas Scott,Wide Leg & Bootcut,874.0
443,8,30,2023-01-25,2023-01,5,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Slim Tapered Fit Jeans,Mast & Harbour,Slim Fit Jeans,701.0
444,357,1,2024-11-08,2024-11,5,Fast delivery and great packaging.,0.6249,Positive,Men Loose Fit Cotton Jeans,WROGN,Relaxed Fit Jeans,1374.0
445,215,30,2023-12-26,2023-12,4,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Slim Tapered Fit Jeans,Mast & Harbour,Slim Fit Jeans,701.0
446,137,8,2024-11-13,2024-11,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Wide Leg Heavy Fade Jeans,Bene Kleed,Wide Leg & Bootcut,839.0
447,152,21,2023-01-08,2023-01,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Low-Rise Cargo  Jeans,Kotty,Joggers & Cargo,639.0
448,206,44,2023-04-12,2023-04,4,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Baggy Loose Jeans,glitchez,Relaxed Fit Jeans,747.0
449,472,43,2024-05-18,2024-05,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Mid-Rise Stretchable Jeans,MASTERLY WEFT,Stretchable Jeans,959.0
450,198,26,2024-03-19,2024-03,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Slim Fit Mid-Rise Jeans,The Indian Garage Co,Slim Fit Jeans,659.0
451,65,1,2023-12-28,2023-12,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Loose Fit Cotton Jeans,WROGN,Relaxed Fit Jeans,1374.0
452,160,22,2024-03-22,2024-03,5,Great value for money. Highly recommend.,0.8516,Positive,Men Mid-Rise Skinny Fit Jeans,Mufti,Slim Fit Jeans,1393.0
453,294,40,2023-10-22,2023-10,5,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Relaxed Fit Jeans,Roadster,Relaxed Fit Jeans,645.0
454,250,10,2024-05-28,2024-05,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Jogger Mid-Rise Jeans,styzon,Joggers & Cargo,899.0
455,221,5,2023-01-06,2023-01,4,Excellent product. Myntra never disappoints.,0.7081,Positive,Men 511 Slim Fit Jeans,Levis,Slim Fit Jeans,1478.0
456,88,39,2024-09-13,2024-09,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Regular Fit Jeans,Levis,Regular Fit Jeans,944.0
457,222,44,2024-06-22,2024-06,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Baggy Loose Jeans,glitchez,Relaxed Fit Jeans,747.0
458,213,28,2023-11-09,2023-11,4,Amazing quality! Totally worth the price.,0.7419,Positive,Men Straight Fit Jeans,Mast & Harbour,Regular Fit Jeans,764.0
459,132,16,2023-03-31,2023-03,3,Decent product but could be better for the price.,0.5927,Neutral,Men Relaxed Fit Jeans,Flying Machine,Relaxed Fit Jeans,2309.0
460,421,16,2024-08-03,2024-08,1,Delivery was very late. Poor experience.,-0.5233,Negative,Men Relaxed Fit Jeans,Flying Machine,Relaxed Fit Jeans,2309.0
461,411,33,2023-04-25,2023-04,3,Decent product but could be better for the price.,0.5927,Neutral,Men Straight Fit Jeans,glitchez,Regular Fit Jeans,797.0
462,166,22,2024-06-28,2024-06,4,Amazing quality! Totally worth the price.,0.7419,Positive,Men Mid-Rise Skinny Fit Jeans,Mufti,Slim Fit Jeans,1393.0
463,79,37,2023-12-31,2023-12,5,Great value for money. Highly recommend.,0.8516,Positive,Men Straight Fit Jeans,V-Mart,Regular Fit Jeans,809.0
464,235,17,2024-09-15,2024-09,4,Great value for money. Highly recommend.,0.8516,Positive,Men Low-Rise Jeans,Kotty,Denim & Jeans,519.0
465,491,37,2024-04-08,2024-04,4,Perfect fit. The material feels premium.,0.7351,Positive,Men Straight Fit Jeans,V-Mart,Regular Fit Jeans,809.0
466,337,16,2023-04-02,2023-04,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Relaxed Fit Jeans,Flying Machine,Relaxed Fit Jeans,2309.0
467,499,16,2024-03-18,2024-03,4,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Relaxed Fit Jeans,Flying Machine,Relaxed Fit Jeans,2309.0
468,182,46,2024-08-11,2024-08,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Slim Fit Jeans,HIGHLANDER,Slim Fit Jeans,675.0
469,335,35,2024-04-20,2024-04,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Relaxed Fit Jeans,Mast & Harbour,Relaxed Fit Jeans,819.0
470,355,8,2023-02-17,2023-02,5,Great value for money. Highly recommend.,0.8516,Positive,Men Wide Leg Heavy Fade Jeans,Bene Kleed,Wide Leg & Bootcut,839.0
471,67,17,2024-03-18,2024-03,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Low-Rise Jeans,Kotty,Denim & Jeans,519.0
472,486,11,2024-12-21,2024-12,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Slim Fit Jeans,Calvin Klein Jeans,Slim Fit Jeans,949.0
473,146,9,2024-07-03,2024-07,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Regular Fit Mid-Rise Jeans,Roadster,Regular Fit Jeans,759.0
474,235,13,2024-08-27,2024-08,4,Great value for money. Highly recommend.,0.8516,Positive,Men Slim Fit Stretchable Jeans,WROGN,Slim Fit Jeans,1275.0
475,47,1,2023-02-19,2023-02,4,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Loose Fit Cotton Jeans,WROGN,Relaxed Fit Jeans,1374.0
476,348,40,2023-03-01,2023-03,2,The jeans are too tight at the waist. Sizing is off.,0.0,Mixed Negative,Men Relaxed Fit Jeans,Roadster,Relaxed Fit Jeans,645.0
477,233,11,2024-11-07,2024-11,4,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Slim Fit Jeans,Calvin Klein Jeans,Slim Fit Jeans,949.0
478,327,5,2024-01-10,2024-01,2,Size runs small. Return process is very difficult.,-0.4201,Negative,Men 511 Slim Fit Jeans,Levis,Slim Fit Jeans,1478.0
479,88,20,2024-01-27,2024-01,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Bootcut Jeans,Mast & Harbour,Wide Leg & Bootcut,869.0
480,49,26,2023-02-06,2023-02,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Slim Fit Mid-Rise Jeans,The Indian Garage Co,Slim Fit Jeans,659.0
481,109,44,2024-09-08,2024-09,4,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Baggy Loose Jeans,glitchez,Relaxed Fit Jeans,747.0
482,197,9,2023-05-15,2023-05,4,Perfect fit. The material feels premium.,0.7351,Positive,Men Regular Fit Mid-Rise Jeans,Roadster,Regular Fit Jeans,759.0
483,28,42,2023-08-29,2023-08,4,Perfect fit. The material feels premium.,0.7351,Positive,Men Slim Fit Jeans,Nautica,Slim Fit Jeans,1088.0
484,430,19,2024-06-23,2024-06,4,Great value for money. Highly recommend.,0.8516,Positive,Men Straight Fit Jeans,Kotty,Regular Fit Jeans,719.0
485,271,20,2023-10-17,2023-10,1,Product looks different from the photo online.,0.0,Mixed Negative,Men Bootcut Jeans,Mast & Harbour,Wide Leg & Bootcut,869.0
486,390,48,2023-01-15,2023-01,3,Okay product. Expected more based on the description.,0.2263,Neutral,Men Bootcut Jeans,HERE&NOW,Wide Leg & Bootcut,869.0
487,328,37,2024-08-21,2024-08,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Straight Fit Jeans,V-Mart,Regular Fit Jeans,809.0
488,155,13,2023-01-05,2023-01,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Slim Fit Stretchable Jeans,WROGN,Slim Fit Jeans,1275.0
489,286,12,2024-11-16,2024-11,2,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Relaxed Fit Jeans,styzon,Relaxed Fit Jeans,989.0
490,388,32,2023-05-13,2023-05,3,Okay product. Expected more based on the description.,0.2263,Neutral,Men Relaxed Fit Jeans,The Indian Garage Co,Relaxed Fit Jeans,808.0
491,226,26,2023-09-21,2023-09,4,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Slim Fit Mid-Rise Jeans,The Indian Garage Co,Slim Fit Jeans,659.0
492,173,21,2023-08-19,2023-08,1,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Low-Rise Cargo  Jeans,Kotty,Joggers & Cargo,639.0
493,466,25,2023-07-04,2023-07,4,Fast delivery and great packaging.,0.6249,Positive,Men Relaxed Fit Jeans,FUGAZEE,Relaxed Fit Jeans,2099.0
494,112,50,2024-08-17,2024-08,4,Fast delivery and great packaging.,0.6249,Positive,30 Days No Wash Jeans,TURMS,Denim & Jeans,3499.0
495,27,9,2024-12-25,2024-12,5,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Regular Fit Mid-Rise Jeans,Roadster,Regular Fit Jeans,759.0
496,453,17,2023-08-01,2023-08,5,Great value for money. Highly recommend.,0.8516,Positive,Men Low-Rise Jeans,Kotty,Denim & Jeans,519.0
497,81,31,2024-03-23,2024-03,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Pure Cotton Skater Jeans,The Indian Garage Co,Denim & Jeans,688.0
498,259,12,2023-12-05,2023-12,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Relaxed Fit Jeans,styzon,Relaxed Fit Jeans,989.0
499,36,9,2024-08-01,2024-08,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Regular Fit Mid-Rise Jeans,Roadster,Regular Fit Jeans,759.0
