reviewid,customerid,productid,reviewdate,rating,reviewtext
442,428,34,2024-08-22,3,Average quality. Nothing special about it.
443,8,30,2023-01-25,5,Loved the fabric and the fit. Will buy again.
444,357,1,2024-11-08,5,Fast delivery and great packaging.
445,215,30,2023-12-26,4,Excellent product. Myntra never disappoints.
446,137,8,2024-11-13,5,Super comfortable jeans. Bought in two colours.
447,152,21,2023-01-08,5,Super comfortable jeans. Bought in two colours.
448,206,44,2023-04-12,4,Delivery was quick and product is exactly as described.
449,472,43,2024-05-18,5,Excellent product. Myntra never disappoints.
450,198,26,2024-03-19,5,Beautiful design. Exactly as shown in the photo.
451,65,1,2023-12-28,5,Super comfortable jeans. Bought in two colours.
452,160,22,2024-03-22,5,Great value for money. Highly recommend.
453,294,40,2023-10-22,5,Loved the fabric and the fit. Will buy again.
454,250,10,2024-05-28,5,Super comfortable jeans. Bought in two colours.
455,221,5,2023-01-06,4,Excellent product. Myntra never disappoints.
456,88,39,2024-09-13,5,Perfect fit. The material feels premium.
457,222,44,2024-06-22,5,Super comfortable jeans. Bought in two colours.
458,213,28,2023-11-09,4,Amazing quality! Totally worth the price.
459,132,16,2023-03-31,3,Decent product but could be better for the price.
460,421,16,2024-08-03,1,Delivery was very late. Poor experience.
461,411,33,2023-04-25,3,Decent product but could be better for the price.
462,166,22,2024-06-28,4,Amazing quality! Totally worth the price.
463,79,37,2023-12-31,5,Great value for money. Highly recommend.
464,235,17,2024-09-15,4,Great value for money. Highly recommend.
465,491,37,2024-04-08,4,Perfect fit. The material feels premium.
466,337,16,2023-04-02,5,Fits perfectly. Very happy with the purchase.
467,499,16,2024-03-18,4,Beautiful design. Exactly as shown in the photo.
468,182,46,2024-08-11,5,Fits perfectly. Very happy with the purchase.
469,335,35,2024-04-20,5,Perfect fit. The material feels premium.
470,355,8,2023-02-17,5,Great value for money. Highly recommend.
471,67,17,2024-03-18,5,Delivery was quick and product is exactly as described.
472,486,11,2024-12-21,5,Delivery was quick and product is exactly as described.
473,146,9,2024-07-03,5,Beautiful design. Exactly as shown in the photo.
474,235,13,2024-08-27,4,Great value for money. Highly recommend.
475,47,1,2023-02-19,4,Delivery was quick and product is exactly as described.
476,348,40,2023-03-01,2,The jeans are too tight at the waist. Sizing is off.
477,233,11,2024-11-07,4,Loved the fabric and the fit. Will buy again.
478,327,5,2024-01-10,2,Size runs small. Return process is very difficult.
479,88,20,2024-01-27,5,Excellent product. Myntra never disappoints.
480,49,26,2023-02-06,5,Excellent product. Myntra never disappoints.
481,109,44,2024-09-08,4,Beautiful design. Exactly as shown in the photo.
482,197,9,2023-05-15,4,Perfect fit. The material feels premium.
483,28,42,2023-08-29,4,Perfect fit. The material feels premium.
484,430,19,2024-06-23,4,Great value for money. Highly recommend.
485,271,20,2023-10-17,1,Product looks different from the photo online.
486,390,48,2023-01-15,3,Okay product. Expected more based on the description.
487,328,37,2024-08-21,5,Fits perfectly. Very happy with the purchase.
488,155,13,2023-01-05,5,Super comfortable jeans. Bought in two colours.
489,286,12,2024-11-16,2,Received a damaged product. Very unhappy.
490,388,32,2023-05-13,3,Okay product. Expected more based on the description.
491,226,26,2023-09-21,4,Fits perfectly. Very happy with the purchase.
492,173,21,2023-08-19,1,Size runs small. Return process is very difficult.
493,466,25,2023-07-04,4,Fast delivery and great packaging.
494,112,50,2024-08-17,4,Fast delivery and great packaging.
495,27,9,2024-12-25,5,Loved the fabric and the fit. Will buy again.
496,453,17,2023-08-01,5,Great value for money. Highly recommend.
497,81,31,2024-03-23,5,Fits perfectly. Very happy with the purchase.
498,259,12,2023-12-05,5,Perfect fit. The material feels premium.
499,36,9,2024-08-01,5,Super comfortable jeans. Bought in two colours.
500,353,39,2023-04-25,5,Delivery was quick and product is exactly as described.
501,404,24,2024-12-14,2,The jeans are too tight at the waist. Sizing is off.
502,405,48,2023-03-28,4,Fast delivery and great packaging.
503,201,42,2024-12-24,2,Size runs small. Return process is very difficult.
504,428,17,2023-10-10,5,Great value for money. Highly recommend.
505,129,14,2023-10-25,3,Okay product. Expected more based on the description.
506,130,10,2023-04-06,5,Delivery was quick and product is exactly as described.
507,85,29,2023-06-03,3,Decent product but could be better for the price.
508,25,41,2024-06-04,4,Perfect fit. The material feels premium.
509,55,4,2024-05-08,5,Super comfortable jeans. Bought in two colours.
510,21,1,2023-08-12,5,Fits perfectly. Very happy with the purchase.
511,325,9,2023-08-05,1,Quality is below average. Not what I expected.
512,453,22,2024-04-01,4,Beautiful design. Exactly as shown in the photo.
513,284,43,2023-06-19,4,Great value for money. Highly recommend.
514,412,27,2023-10-08,4,Super comfortable jeans. Bought in two colours.
515,182,42,2024-01-23,5,Fits perfectly. Very happy with the purchase.
516,172,19,2023-03-08,5,Beautiful design. Exactly as shown in the photo.
517,105,21,2024-05-21,5,Fits perfectly. Very happy with the purchase.
518,404,47,2023-04-21,5,Fast delivery and great packaging.
519,361,37,2024-01-03,5,Super comfortable jeans. Bought in two colours.
520,22,41,2023-01-13,4,Delivery was quick and product is exactly as described.
521,79,12,2023-11-19,5,Fits perfectly. Very happy with the purchase.
522,72,6,2024-10-14,5,Beautiful design. Exactly as shown in the photo.
523,48,47,2023-11-30,1,Size runs small. Return process is very difficult.
524,430,47,2024-01-13,4,Great value for money. Highly recommend.
525,140,5,2023-02-16,3,Average quality. Nothing special about it.
526,434,31,2024-09-25,4,Beautiful design. Exactly as shown in the photo.
527,303,36,2023-07-03,1,Delivery was very late. Poor experience.
528,388,10,2024-10-15,2,Quality is below average. Not what I expected.
529,190,3,2024-10-15,4,Fits perfectly. Very happy with the purchase.
530,134,2,2024-07-24,2,Product looks different from the photo online.
531,102,39,2023-12-03,4,Beautiful design. Exactly as shown in the photo.
532,337,19,2024-11-06,1,Material feels cheap. Not worth the price at all.
533,487,29,2023-02-21,5,Beautiful design. Exactly as shown in the photo.
534,194,39,2024-02-06,5,Excellent product. Myntra never disappoints.
535,349,37,2023-01-05,4,Perfect fit. The material feels premium.
536,381,23,2024-11-29,5,Fits perfectly. Very happy with the purchase.
537,172,41,2023-07-05,5,Amazing quality! Totally worth the price.
538,290,49,2024-01-25,4,Delivery was quick and product is exactly as described.
539,230,48,2023-12-02,5,Fits perfectly. Very happy with the purchase.
540,472,35,2024-02-27,5,Super comfortable jeans. Bought in two colours.
541,373,44,2023-02-26,5,Delivery was quick and product is exactly as described.
542,130,41,2023-09-04,4,Loved the fabric and the fit. Will buy again.
543,52,20,2023-12-28,4,Beautiful design. Exactly as shown in the photo.
544,446,33,2024-01-23,5,Beautiful design. Exactly as shown in the photo.
545,357,34,2024-06-16,4,Perfect fit. The material feels premium.
546,310,17,2023-09-14,5,Delivery was quick and product is exactly as described.
547,347,40,2024-10-27,5,Fits perfectly. Very happy with the purchase.
548,214,6,2023-11-28,4,Perfect fit. The material feels premium.
549,117,45,2024-07-07,3,Okay product. Expected more based on the description.
550,203,38,2023-05-05,5,Fast delivery and great packaging.
551,331,14,2023-05-19,5,Excellent product. Myntra never disappoints.
552,497,40,2024-10-08,4,Super comfortable jeans. Bought in two colours.
553,82,2,2023-06-11,5,Amazing quality! Totally worth the price.
554,16,1,2023-07-04,1,The color faded after first wash. Very disappointing.
555,38,13,2023-08-10,5,Fits perfectly. Very happy with the purchase.
556,35,19,2024-11-26,3,Not bad but not great either. Fits okay.
557,24,12,2024-05-11,5,Delivery was quick and product is exactly as described.
558,18,8,2023-07-11,3,Material is fine but the colour is slightly different.
559,51,43,2023-09-08,3,Okay product. Expected more based on the description.
560,358,45,2024-08-12,5,Super comfortable jeans. Bought in two colours.
561,385,48,2024-10-16,1,Quality is below average. Not what I expected.
562,421,49,2023-08-06,1,The jeans are too tight at the waist. Sizing is off.
563,112,33,2023-09-21,3,Okay product. Expected more based on the description.
564,146,47,2023-11-17,5,Super comfortable jeans. Bought in two colours.
565,30,46,2024-10-03,4,Beautiful design. Exactly as shown in the photo.
566,496,12,2024-06-29,5,Super comfortable jeans. Bought in two colours.
567,376,47,2024-11-03,5,Excellent product. Myntra never disappoints.
568,366,37,2024-10-04,5,Perfect fit. The material feels premium.
569,342,44,2024-01-25,5,Loved the fabric and the fit. Will buy again.
570,92,17,2023-08-08,1,Customer support was unhelpful when I raised an issue.
571,96,46,2023-12-25,5,Perfect fit. The material feels premium.
572,453,11,2023-02-13,4,Loved the fabric and the fit. Will buy again.
573,372,19,2023-12-21,2,Delivery was very late. Poor experience.
574,14,7,2024-11-26,3,Average quality. Nothing special about it.
575,412,28,2023-04-26,5,Fast delivery and great packaging.
576,378,9,2024-02-26,5,Super comfortable jeans. Bought in two colours.
577,260,26,2023-07-13,5,Amazing quality! Totally worth the price.
578,88,11,2023-01-17,5,Loved the fabric and the fit. Will buy again.
579,107,42,2023-12-13,1,Received a damaged product. Very unhappy.
580,40,39,2023-07-22,5,Excellent product. Myntra never disappoints.
581,166,21,2024-04-03,5,Fast delivery and great packaging.
582,212,32,2023-10-26,1,Product looks different from the photo online.
583,232,40,2024-03-22,4,Fits perfectly. Very happy with the purchase.
584,334,29,2023-01-25,4,Amazing quality! Totally worth the price.
585,119,21,2024-06-06,4,Excellent product. Myntra never disappoints.
586,86,30,2024-03-28,4,Amazing quality! Totally worth the price.
587,96,37,2024-07-15,5,Super comfortable jeans. Bought in two colours.
588,56,6,2024-01-05,1,Material feels cheap. Not worth the price at all.
589,459,13,2024-03-13,5,Fast delivery and great packaging.
590,21,24,2024-09-02,5,Perfect fit. The material feels premium.
591,346,31,2023-03-09,1,Product looks different from the photo online.
592,369,6,2023-03-21,5,Excellent product. Myntra never disappoints.
593,291,28,2024-03-26,4,Beautiful design. Exactly as shown in the photo.
594,46,11,2024-11-04,5,Perfect fit. The material feels premium.
595,310,2,2024-11-07,5,Excellent product. Myntra never disappoints.
596,278,43,2023-09-10,4,Excellent product. Myntra never disappoints.
597,421,22,2023-10-08,5,Delivery was quick and product is exactly as described.
598,214,5,2024-03-25,5,Super comfortable jeans. Bought in two colours.
599,50,31,2023-01-30,5,Great value for money. Highly recommend.
600,170,5,2023-11-10,1,Size runs small. Return process is very difficult.
601,67,10,2023-02-11,5,Super comfortable jeans. Bought in two colours.
602,491,15,2023-12-25,5,Perfect fit. The material feels premium.
603,70,21,2024-11-03,4,Perfect fit. The material feels premium.
604,302,42,2024-10-13,5,Loved the fabric and the fit. Will buy again.
605,402,16,2024-04-30,5,Perfect fit. The material feels premium.
606,318,39,2023-06-25,4,Perfect fit. The material feels premium.
607,242,44,2024-12-18,5,Fits perfectly. Very happy with the purchase.
608,125,37,2024-09-19,5,Loved the fabric and the fit. Will buy again.
609,158,50,2024-06-25,5,Beautiful design. Exactly as shown in the photo.
610,128,38,2024-04-10,4,Perfect fit. The material feels premium.
611,178,9,2024-11-24,5,Great value for money. Highly recommend.
612,339,30,2024-03-02,5,Delivery was quick and product is exactly as described.
613,426,16,2023-08-20,4,Loved the fabric and the fit. Will buy again.
614,437,7,2023-02-27,5,Amazing quality! Totally worth the price.
615,135,45,2023-04-30,4,Fits perfectly. Very happy with the purchase.
616,452,45,2023-09-19,5,Fast delivery and great packaging.
617,88,34,2024-02-15,5,Loved the fabric and the fit. Will buy again.
618,17,19,2024-04-15,5,Loved the fabric and the fit. Will buy again.
619,483,20,2024-10-30,4,Great value for money. Highly recommend.
620,240,22,2023-04-18,3,Okay product. Expected more based on the description.
621,245,42,2023-12-07,4,Delivery was quick and product is exactly as described.
622,92,41,2023-11-03,4,Fast delivery and great packaging.
623,39,11,2024-01-11,5,Beautiful design. Exactly as shown in the photo.
624,329,40,2024-05-17,5,Fast delivery and great packaging.
625,306,33,2024-08-23,3,Okay product. Expected more based on the description.
626,110,42,2023-11-27,5,Loved the fabric and the fit. Will buy again.
627,292,8,2024-10-22,5,Delivery was quick and product is exactly as described.
628,134,24,2023-05-03,4,Amazing quality! Totally worth the price.
629,246,37,2023-10-12,5,Fast delivery and great packaging.
630,88,17,2024-07-25,3,Average quality. Nothing special about it.
631,47,9,2024-05-30,4,Fits perfectly. Very happy with the purchase.
632,274,41,2024-05-04,4,Excellent product. Myntra never disappoints.
633,419,41,2023-02-18,5,Beautiful design. Exactly as shown in the photo.
634,378,48,2024-03-06,1,Product looks different from the photo online.
635,321,27,2024-09-01,5,Fast delivery and great packaging.
636,410,5,2023-05-31,3,Not bad but not great either. Fits okay.
637,198,22,2023-02-07,5,Super comfortable jeans. Bought in two colours.
638,180,38,2023-03-27,1,Delivery was very late. Poor experience.
639,373,13,2023-05-23,1,Delivery was very late. Poor experience.
640,96,31,2023-02-23,2,Quality is below average. Not what I expected.
641,493,15,2024-06-07,3,Material is fine but the colour is slightly different.
642,455,6,2024-02-05,5,Fast delivery and great packaging.
643,436,30,2023-02-07,4,Delivery was quick and product is exactly as described.
644,259,17,2024-04-08,5,Beautiful design. Exactly as shown in the photo.
645,430,18,2023-10-12,3,Decent product but could be better for the price.
646,87,16,2024-05-15,2,Stitching came off within a week. Terrible quality.
647,297,24,2023-12-29,5,Perfect fit. The material feels premium.
648,140,30,2024-09-06,3,Okay product. Expected more based on the description.
649,360,49,2024-05-16,5,Super comfortable jeans. Bought in two colours.
650,256,31,2023-11-18,5,Loved the fabric and the fit. Will buy again.
651,200,29,2023-08-02,5,Delivery was quick and product is exactly as described.
652,189,38,2023-02-11,4,Super comfortable jeans. Bought in two colours.
653,3,50,2023-11-21,3,Okay product. Expected more based on the description.
654,499,28,2023-12-16,4,Fits perfectly. Very happy with the purchase.
655,210,40,2024-10-09,5,Loved the fabric and the fit. Will buy again.
656,215,14,2024-09-24,5,Beautiful design. Exactly as shown in the photo.
657,168,6,2024-05-12,4,Super comfortable jeans. Bought in two colours.
658,200,11,2023-05-13,5,Fast delivery and great packaging.
659,270,2,2023-04-17,5,Beautiful design. Exactly as shown in the photo.
660,32,33,2023-10-28,5,Loved the fabric and the fit. Will buy again.
661,124,22,2024-01-18,4,Delivery was quick and product is exactly as described.
662,392,47,2024-04-09,3,Okay product. Expected more based on the description.
663,472,44,2024-03-03,5,Great value for money. Highly recommend.
664,287,48,2023-09-16,5,Great value for money. Highly recommend.
665,39,11,2023-12-05,5,Great value for money. Highly recommend.
666,215,30,2023-10-25,3,Okay product. Expected more based on the description.
667,396,11,2023-11-29,5,Amazing quality! Totally worth the price.
668,319,18,2023-06-29,5,Super comfortable jeans. Bought in two colours.
669,204,32,2024-10-01,5,Beautiful design. Exactly as shown in the photo.
670,73,4,2023-02-24,4,Delivery was quick and product is exactly as described.
671,31,36,2023-01-01,5,Perfect fit. The material feels premium.
672,145,10,2023-05-12,4,Fast delivery and great packaging.
673,279,22,2024-12-12,4,Great value for money. Highly recommend.
674,193,46,2024-05-08,1,The color faded after first wash. Very disappointing.
675,67,47,2023-11-16,3,Average quality. Nothing special about it.
676,73,2,2023-12-29,4,Loved the fabric and the fit. Will buy again.
677,36,34,2023-03-20,4,Fits perfectly. Very happy with the purchase.
678,92,42,2024-06-17,5,Perfect fit. The material feels premium.
679,338,14,2023-07-13,4,Great value for money. Highly recommend.
680,34,31,2024-09-19,5,Amazing quality! Totally worth the price.
681,119,4,2024-11-24,2,Stitching came off within a week. Terrible quality.
682,155,16,2024-10-27,5,Great value for money. Highly recommend.
683,323,39,2023-01-17,4,Beautiful design. Exactly as shown in the photo.
684,25,47,2024-07-07,5,Fast delivery and great packaging.
685,249,47,2024-03-01,3,Decent product but could be better for the price.
686,233,16,2024-04-19,5,Beautiful design. Exactly as shown in the photo.
687,183,23,2023-11-15,5,Great value for money. Highly recommend.
688,57,40,2024-05-31,4,Delivery was quick and product is exactly as described.
689,56,4,2023-04-24,4,Excellent product. Myntra never disappoints.
690,121,4,2023-07-30,2,Received a damaged product. Very unhappy.
691,485,6,2024-10-30,5,Loved the fabric and the fit. Will buy again.
692,173,48,2023-11-19,3,Decent product but could be better for the price.
693,222,9,2023-01-18,5,Super comfortable jeans. Bought in two colours.
694,164,41,2023-04-19,5,Beautiful design. Exactly as shown in the photo.
695,81,7,2024-03-23,5,Excellent product. Myntra never disappoints.
696,377,17,2023-09-08,5,Beautiful design. Exactly as shown in the photo.
697,233,16,2024-08-15,5,Super comfortable jeans. Bought in two colours.
698,423,31,2023-12-02,1,Received a damaged product. Very unhappy.
699,380,50,2023-08-23,5,Great value for money. Highly recommend.
700,83,24,2023-04-25,5,Perfect fit. The material feels premium.
701,309,6,2024-07-26,5,Perfect fit. The material feels premium.
702,184,6,2024-09-09,5,Delivery was quick and product is exactly as described.
703,359,38,2024-12-24,4,Great value for money. Highly recommend.
704,222,17,2023-11-02,4,Beautiful design. Exactly as shown in the photo.
705,133,5,2023-01-31,5,Loved the fabric and the fit. Will buy again.
706,193,32,2024-06-22,5,Loved the fabric and the fit. Will buy again.
707,258,38,2023-03-12,5,Great value for money. Highly recommend.
708,64,44,2023-02-16,4,Super comfortable jeans. Bought in two colours.
709,348,49,2024-09-22,4,Super comfortable jeans. Bought in two colours.
710,463,3,2023-12-18,3,Not bad but not great either. Fits okay.
711,159,43,2024-12-08,5,Perfect fit. The material feels premium.
712,254,16,2024-10-12,1,The jeans are too tight at the waist. Sizing is off.
713,51,15,2024-02-28,4,Beautiful design. Exactly as shown in the photo.
714,411,44,2023-05-11,5,Amazing quality! Totally worth the price.
715,432,12,2023-11-28,5,Beautiful design. Exactly as shown in the photo.
716,472,43,2024-12-29,4,Excellent product. Myntra never disappoints.
717,352,33,2024-05-16,5,Loved the fabric and the fit. Will buy again.
718,465,26,2024-03-09,4,Fast delivery and great packaging.
719,57,45,2024-04-24,5,Perfect fit. The material feels premium.
720,213,36,2024-03-07,4,Beautiful design. Exactly as shown in the photo.
721,479,48,2024-03-06,5,Excellent product. Myntra never disappoints.
722,452,24,2024-08-05,3,Okay product. Expected more based on the description.
723,107,38,2023-08-13,4,Beautiful design. Exactly as shown in the photo.
724,477,5,2024-01-16,4,Fits perfectly. Very happy with the purchase.
725,66,6,2024-08-30,5,Great value for money. Highly recommend.
726,286,49,2023-11-16,5,Beautiful design. Exactly as shown in the photo.
727,247,37,2024-06-22,5,Beautiful design. Exactly as shown in the photo.
728,44,37,2023-07-22,5,Perfect fit. The material feels premium.
729,27,17,2024-10-04,4,Fits perfectly. Very happy with the purchase.
730,93,49,2023-07-07,5,Beautiful design. Exactly as shown in the photo.
731,121,1,2023-05-17,4,Delivery was quick and product is exactly as described.
732,57,32,2023-01-11,5,Loved the fabric and the fit. Will buy again.
733,442,28,2024-05-29,4,Fast delivery and great packaging.
734,116,25,2023-12-21,3,Decent product but could be better for the price.
735,179,27,2023-07-13,1,Size runs small. Return process is very difficult.
736,375,19,2024-09-27,4,Great value for money. Highly recommend.
737,410,20,2023-01-02,3,Material is fine but the colour is slightly different.
738,105,2,2024-04-25,5,Amazing quality! Totally worth the price.
739,228,20,2024-12-27,3,Average quality. Nothing special about it.
740,350,47,2023-05-11,5,Beautiful design. Exactly as shown in the photo.
741,264,45,2024-07-24,3,Okay product. Expected more based on the description.
742,2,44,2024-07-07,5,Amazing quality! Totally worth the price.
743,495,9,2024-02-27,5,Delivery was quick and product is exactly as described.
744,448,5,2024-11-11,5,Perfect fit. The material feels premium.
745,239,32,2023-03-22,5,Fast delivery and great packaging.
746,218,25,2024-02-05,5,Amazing quality! Totally worth the price.
747,246,12,2023-11-08,4,Beautiful design. Exactly as shown in the photo.
748,298,33,2023-12-01,5,Fits perfectly. Very happy with the purchase.
749,313,4,2024-05-18,4,Amazing quality! Totally worth the price.
750,252,24,2023-08-19,5,Delivery was quick and product is exactly as described.
751,80,46,2023-07-25,3,Average quality. Nothing special about it.
752,169,27,2024-12-06,4,Great value for money. Highly recommend.
753,28,24,2023-09-13,4,Fast delivery and great packaging.
754,65,45,2023-03-10,4,Super comfortable jeans. Bought in two colours.
755,150,35,2024-09-29,5,Beautiful design. Exactly as shown in the photo.
756,490,33,2024-09-05,5,Perfect fit. The material feels premium.
757,38,21,2024-12-31,3,Material is fine but the colour is slightly different.
758,295,6,2023-10-02,2,Received a damaged product. Very unhappy.
759,430,23,2024-02-28,3,Decent product but could be better for the price.
760,56,37,2024-02-01,2,Size runs small. Return process is very difficult.
761,456,9,2023-01-25,5,Excellent product. Myntra never disappoints.
762,98,43,2023-10-31,5,Perfect fit. The material feels premium.
763,427,27,2024-05-06,5,Excellent product. Myntra never disappoints.
764,275,28,2024-07-09,5,Fast delivery and great packaging.
765,363,38,2023-02-04,4,Great value for money. Highly recommend.
766,264,13,2024-03-30,5,Great value for money. Highly recommend.
767,492,49,2024-01-09,2,The color faded after first wash. Very disappointing.
768,297,50,2023-04-30,5,Fits perfectly. Very happy with the purchase.
769,55,36,2024-01-28,4,Loved the fabric and the fit. Will buy again.
770,274,3,2024-05-19,5,Fits perfectly. Very happy with the purchase.
771,463,15,2023-01-30,5,Super comfortable jeans. Bought in two colours.
772,81,1,2023-03-10,5,Fits perfectly. Very happy with the purchase.
773,220,15,2024-05-03,5,Delivery was quick and product is exactly as described.
774,397,17,2023-10-30,4,Amazing quality! Totally worth the price.
775,328,7,2024-04-16,5,Beautiful design. Exactly as shown in the photo.
776,252,19,2023-11-30,5,Amazing quality! Totally worth the price.
777,163,17,2023-02-04,5,Fits perfectly. Very happy with the purchase.
778,129,47,2024-02-06,4,Super comfortable jeans. Bought in two colours.
779,218,36,2023-10-05,5,Delivery was quick and product is exactly as described.
780,26,49,2024-11-07,5,Super comfortable jeans. Bought in two colours.
781,170,14,2023-06-14,4,Perfect fit. The material feels premium.
782,430,27,2024-03-08,5,Loved the fabric and the fit. Will buy again.
783,352,3,2023-02-19,2,Product looks different from the photo online.
784,400,19,2023-04-03,5,Perfect fit. The material feels premium.
785,21,2,2023-01-14,4,Great value for money. Highly recommend.
786,231,14,2023-02-05,1,Received a damaged product. Very unhappy.
787,119,41,2024-12-27,5,Great value for money. Highly recommend.
788,119,37,2024-08-09,4,Super comfortable jeans. Bought in two colours.
789,55,37,2023-08-04,5,Amazing quality! Totally worth the price.
790,74,7,2023-08-13,5,Delivery was quick and product is exactly as described.
791,278,41,2024-11-07,3,Decent product but could be better for the price.
792,495,38,2023-03-30,4,Loved the fabric and the fit. Will buy again.
793,296,19,2023-01-15,5,Fits perfectly. Very happy with the purchase.
794,290,29,2023-11-18,3,Material is fine but the colour is slightly different.
795,127,36,2023-05-23,5,Delivery was quick and product is exactly as described.
796,437,28,2024-02-03,5,Super comfortable jeans. Bought in two colours.
797,296,21,2024-06-20,1,Stitching came off within a week. Terrible quality.
798,9,42,2023-11-14,5,Fast delivery and great packaging.
799,274,30,2023-08-12,3,Material is fine but the colour is slightly different.
800,209,16,2023-07-21,4,Fits perfectly. Very happy with the purchase.
801,420,29,2024-12-01,3,Material is fine but the colour is slightly different.
802,86,1,2024-06-06,5,Loved the fabric and the fit. Will buy again.
803,167,8,2024-07-18,4,Great value for money. Highly recommend.
804,29,22,2024-02-29,3,Decent product but could be better for the price.
805,304,9,2023-03-15,4,Super comfortable jeans. Bought in two colours.
806,448,15,2023-02-04,5,Perfect fit. The material feels premium.
807,164,29,2024-03-30,1,Size runs small. Return process is very difficult.
808,122,44,2023-07-10,4,Great value for money. Highly recommend.
809,272,31,2024-05-15,5,Fits perfectly. Very happy with the purchase.
810,476,12,2024-11-09,2,Size runs small. Return process is very difficult.
811,473,26,2023-07-13,4,Great value for money. Highly recommend.
812,49,45,2024-01-08,4,Beautiful design. Exactly as shown in the photo.
813,182,29,2023-07-01,5,Great value for money. Highly recommend.
814,273,10,2024-06-14,5,Excellent product. Myntra never disappoints.
815,294,4,2024-09-10,5,Great value for money. Highly recommend.
816,420,8,2023-04-16,5,Perfect fit. The material feels premium.
817,279,23,2023-08-26,4,Beautiful design. Exactly as shown in the photo.
818,19,42,2024-05-21,1,The jeans are too tight at the waist. Sizing is off.
819,5,39,2024-06-28,4,Beautiful design. Exactly as shown in the photo.
820,115,17,2024-08-19,5,Perfect fit. The material feels premium.
821,488,28,2024-06-05,4,Amazing quality! Totally worth the price.
822,104,45,2024-01-21,1,Product looks different from the photo online.
823,154,40,2023-09-08,3,Average quality. Nothing special about it.
824,28,22,2024-04-07,5,Great value for money. Highly recommend.
825,69,26,2024-10-15,1,Customer support was unhelpful when I raised an issue.
826,493,18,2023-06-20,3,Material is fine but the colour is slightly different.
827,269,48,2024-11-12,5,Loved the fabric and the fit. Will buy again.
828,194,38,2024-10-09,5,Loved the fabric and the fit. Will buy again.
829,488,14,2023-07-04,5,Excellent product. Myntra never disappoints.
830,143,31,2024-10-29,5,Amazing quality! Totally worth the price.
831,270,7,2024-02-28,5,Super comfortable jeans. Bought in two colours.
832,92,47,2023-06-08,5,Fits perfectly. Very happy with the purchase.
833,478,45,2023-06-29,5,Excellent product. Myntra never disappoints.
834,95,23,2024-02-06,3,Material is fine but the colour is slightly different.
835,185,18,2024-05-28,3,Material is fine but the colour is slightly different.
836,163,35,2023-06-18,4,Excellent product. Myntra never disappoints.
837,456,15,2023-02-22,5,Fits perfectly. Very happy with the purchase.
838,259,10,2023-06-12,4,Fits perfectly. Very happy with the purchase.
839,5,20,2024-09-19,4,Fits perfectly. Very happy with the purchase.
840,185,29,2024-01-25,5,Delivery was quick and product is exactly as described.
841,48,13,2023-05-23,2,Material feels cheap. Not worth the price at all.
842,209,35,2024-07-06,2,Customer support was unhelpful when I raised an issue.
843,198,4,2024-03-24,4,Excellent product. Myntra never disappoints.
844,108,2,2023-06-29,5,Perfect fit. The material feels premium.
845,406,42,2024-09-04,5,Great value for money. Highly recommend.
846,202,14,2023-08-07,5,Beautiful design. Exactly as shown in the photo.
847,199,3,2023-10-28,1,The color faded after first wash. Very disappointing.
848,264,50,2023-06-05,2,Size runs small. Return process is very difficult.
849,26,33,2024-09-15,1,The color faded after first wash. Very disappointing.
850,293,6,2023-10-16,5,Excellent product. Myntra never disappoints.
851,363,15,2024-10-29,5,Beautiful design. Exactly as shown in the photo.
852,487,45,2024-12-31,5,Amazing quality! Totally worth the price.
853,385,10,2023-07-03,2,Stitching came off within a week. Terrible quality.
854,385,1,2023-10-25,5,Great value for money. Highly recommend.
855,78,11,2024-01-23,5,Great value for money. Highly recommend.
856,1,33,2024-10-11,5,Great value for money. Highly recommend.
857,383,3,2024-02-29,4,Beautiful design. Exactly as shown in the photo.
858,152,27,2023-01-07,5,Amazing quality! Totally worth the price.
859,103,33,2023-12-10,5,Fast delivery and great packaging.
860,457,9,2024-01-24,5,Delivery was quick and product is exactly as described.
861,321,32,2024-02-03,5,Excellent product. Myntra never disappoints.
862,435,10,2023-08-15,5,Excellent product. Myntra never disappoints.
863,141,10,2024-11-30,5,Beautiful design. Exactly as shown in the photo.
864,434,1,2023-09-18,5,Perfect fit. The material feels premium.
865,388,11,2024-04-20,4,Fast delivery and great packaging.
866,14,23,2024-11-05,5,Great value for money. Highly recommend.
867,130,35,2023-04-07,5,Amazing quality! Totally worth the price.
868,392,6,2024-05-26,4,Fits perfectly. Very happy with the purchase.
869,88,37,2023-03-09,4,Delivery was quick and product is exactly as described.
870,92,11,2024-08-15,5,Perfect fit. The material feels premium.
871,37,23,2024-07-16,1,Size runs small. Return process is very difficult.
872,182,9,2024-11-27,5,Loved the fabric and the fit. Will buy again.
873,498,11,2023-05-04,2,The jeans are too tight at the waist. Sizing is off.
874,389,4,2023-12-02,4,Beautiful design. Exactly as shown in the photo.
875,33,15,2024-09-06,4,Fits perfectly. Very happy with the purchase.
876,385,11,2024-12-05,5,Excellent product. Myntra never disappoints.
877,404,16,2023-06-05,4,Loved the fabric and the fit. Will buy again.
878,430,15,2024-11-26,5,Perfect fit. The material feels premium.
879,304,18,2024-08-21,4,Beautiful design. Exactly as shown in the photo.
880,98,15,2023-01-20,3,Material is fine but the colour is slightly different.
881,148,36,2023-04-09,5,Perfect fit. The material feels premium.
